n,n_sim,B,alpha,d,theta_star_1,reject,mean_test_stat,mean_case_1_prop,mean_case_2_prop,mean_case_3_prop
1000,1000,100,0.1,10,0.52,0,0.800906442269362,0.20007,0.799930000000001,0
1000,1000,100,0.1,10,0.54,0,0.905952771073295,0.09438,0.905620000000001,0
1000,1000,100,0.1,10,0.56,0,0.959015473588212,0.04108,0.958920000000001,0
1000,1000,100,0.1,10,0.58,0,0.985754014825133,0.01427,0.985730000000001,0
1000,1000,100,0.1,10,0.6,0,0.995573123853918,0.00443,0.995570000000001,0
1000,1000,100,0.1,10,0.62,0,0.998810546001551,0.00119,0.998810000000001,0
1000,1000,100,0.1,10,0.64,0,0.999590040301739,0.00041,0.999590000000001,0
1000,1000,100,0.1,10,0.66,0,0.999980000000078,2e-05,0.999980000000001,0
1000,1000,100,0.1,10,0.68,0,1,0,1,0
1000,1000,100,0.1,10,0.7,0,1,0,1,0
1000,1000,100,0.1,10,0.72,0,1,0,1,0
1000,1000,100,0.1,10,0.74,0,1,0,1,0
1000,1000,100,0.1,10,0.76,0,1,0,1,0
1000,1000,100,0.1,10,0.78,0,1,0,1,0
1000,1000,100,0.1,10,0.8,0,1,0,1,0
1000,1000,100,0.1,10,0.82,0,0.999963656618767,0,0.999940000000001,6e-05
1000,1000,100,0.1,10,0.84,0,0.999735500409806,0,0.999390000000001,0.00061
1000,1000,100,0.1,10,0.86,0,0.999036866706761,0,0.998100000000001,0.0019
1000,1000,100,0.1,10,0.88,0,0.997020653289244,0,0.993880000000001,0.00612
1000,1000,100,0.1,10,0.9,0,0.988615310859114,0,0.976300000000001,0.0237
1000,1000,100,0.1,10,0.92,0,0.972412881923792,0,0.941780000000001,0.05822
1000,1000,100,0.1,10,0.94,0,0.944003393311673,0,0.874700000000001,0.1253
1000,1000,100,0.1,10,0.96,0,0.900784912309886,0,0.748990000000001,0.25101
1000,1000,100,0.1,10,0.98,0,0.862812205751678,0,0.60328,0.39672
1000,1000,100,0.1,10,1,0,0.888771351514426,0,0.43325,0.56675
